yyyyMMdd,Net sales,Total orders,Total guests
20260501,5467.75,88,151
20260502,5897.70,86,162
20260503,5216.63,63,148
20260504,1995.30,27,46
20260505,1248.70,18,27
20260506,1798.26,28,54
20260507,2521.16,34,68
20260508,7663.61,113,211
20260509,7143.51,98,193
20260510,8919.83,105,248
20260511,1771.31,28,55
20260512,2249.50,31,62
20260513,1938.60,30,104
20260514,1905.89,36,58
20260515,5986.08,83,164
20260516,4444.60,59,118
20260517,3630.29,53,101
20260518,2129.66,33,59
20260519,2717.75,44,76
20260520,2128.75,32,58
20260521,3852.05,51,95
20260522,6243.94,87,155
20260523,5096.13,74,155
20260524,4715.25,67,148
20260525,2782.58,34,75
20260526,2757.53,39,78
20260527,1884.56,27,52
20260528,2595.15,34,72
20260529,5125.44,85,146
20260530,6042.22,75,142
20260531,4591.79,72,135
